BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,is_recent,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
114,59,49,-6,9,19,270,3,5,76,1,0,0,0,0,0,1,0
117,72,49,-8,29,15,300,31,4,77,0,0,1,0,0,0,0,0
105,81,55,-5,10,15,286,2,3,77,1,0,1,0,0,0,0,0
103,91,57,-4,13,56,289,8,4,64,0,0,1,0,0,0,0,0
142,70,46,-10,9,51,428,29,7,61,0,0,1,0,0,0,0,0
76,24,18,-15,11,12,235,42,4,56,0,0,0,0,0,1,0,0
140,51,80,-9,4,52,243,5,6,67,0,0,1,0,0,0,0,0
116,78,65,-7,10,63,203,13,4,49,1,0,0,0,0,0,1,0
135,37,24,-8,9,30,251,84,3,66,0,0,0,0,0,1,0,0
128,21,38,-12,11,39,215,94,3,63,0,0,0,0,0,0,0,1
113,83,74,-6,38,82,189,8,12,79,0,0,1,0,0,0,0,0
103,69,55,-4,8,56,161,10,3,42,1,0,0,0,1,0,0,0
154,58,27,-8,11,20,308,1,4,58,1,0,1,0,0,0,0,0
87,33,63,-15,13,64,229,83,3,39,0,0,1,0,0,0,0,0
90,26,75,-15,12,13,206,70,4,45,0,0,0,0,1,0,0,0
104,60,66,-9,10,26,399,13,3,39,0,0,1,0,0,0,0,0
112,92,64,-4,15,53,264,0,4,74,1,0,0,1,0,0,0,0
140,44,30,-13,18,43,319,7,3,73,0,0,1,0,0,0,0,0
103,44,69,-11,11,44,146,45,3,74,0,0,0,0,0,0,0,1
146,40,38,-7,10,19,256,78,3,49,1,1,0,0,0,0,0,0
106,27,72,-8,11,18,227,73,3,62,1,0,0,0,0,0,0,1
137,30,59,-10,12,14,240,69,4,72,1,0,0,0,0,0,1,0
140,86,79,-6,35,77,219,13,32,77,1,0,0,1,0,0,0,0
80,21,15,-14,12,26,293,82,3,71,0,0,1,0,0,0,0,0
150,83,38,-7,7,45,220,0,6,49,1,0,0,0,0,0,1,0
130,32,53,-17,97,46,281,53,8,41,1,0,0,0,1,0,0,0
129,16,63,-21,12,18,239,93,3,43,0,0,0,0,0,0,1,0
94,52,56,-12,94,64,289,32,5,70,0,0,1,0,0,0,0,0
85,48,20,-5,7,17,269,47,3,68,0,0,1,0,0,0,0,0
133,76,41,-9,8,39,511,7,7,66,0,0,1,0,0,0,0,0
104,63,67,-7,9,55,248,0,3,73,1,0,0,0,0,0,1,0
136,65,64,-6,12,76,232,43,3,49,1,0,0,0,0,0,1,0
127,81,56,-6,29,64,233,1,3,65,0,0,1,0,0,0,0,0
110,89,60,-9,17,53,323,10,5,44,0,0,0,1,0,0,0,0
104,97,39,-6,10,69,314,3,4,68,0,1,0,0,0,0,0,0
81,90,39,-7,11,20,255,4,7,60,0,1,0,0,0,0,0,0
120,74,71,-11,26,87,266,27,5,62,0,0,1,0,0,0,0,0
115,8,67,-27,17,28,228,67,4,42,0,0,0,0,0,0,1,0
130,94,37,-5,19,37,256,0,7,75,1,1,0,0,0,0,0,0
90,86,57,-6,36,31,248,6,9,48,0,0,1,0,0,0,0,0
124,71,46,-9,13,41,174,21,4,50,0,0,1,0,0,0,0,0
121,32,50,-14,38,28,321,72,5,47,0,0,1,0,0,0,0,0
81,39,14,-13,10,30,404,30,5,43,1,0,1,0,0,0,0,0
124,99,45,-4,27,32,273,2,9,72,0,0,0,1,0,0,0,0
130,41,61,-9,23,23,223,54,3,63,1,0,0,1,0,0,0,0
134,58,30,-6,7,18,576,37,3,51,0,0,1,0,0,0,0,0
120,32,43,-21,98,52,193,20,17,41,0,0,1,0,0,0,0,0
137,72,28,-5,20,17,231,1,4,76,1,0,1,0,0,0,0,0
178,29,30,-16,29,14,280,67,5,31,0,0,0,0,0,0,1,0
138,44,46,-9,10,15,294,66,3,39,1,0,0,0,0,0,1,0
147,51,58,-9,6,61,391,1,3,82,0,0,1,0,0,0,0,0
107,66,45,-7,26,78,287,66,5,68,0,0,0,0,0,0,1,0
123,73,54,-6,16,51,219,1,3,51,1,0,1,0,0,0,0,0
75,64,37,-6,17,20,355,0,3,65,1,0,1,0,0,0,0,0
112,68,60,-11,30,71,258,21,3,57,0,0,1,0,0,0,0,0
121,41,83,-14,5,88,324,46,13,44,1,0,0,0,1,0,0,0
119,24,75,-15,9,43,216,83,12,68,0,0,0,0,0,1,0,0
77,17,27,-21,12,20,139,73,4,68,0,0,0,0,0,1,0,0
112,77,65,-6,59,38,214,23,6,54,1,0,0,0,0,0,1,0
130,50,55,-6,76,30,210,30,4,81,1,0,0,0,0,0,1,0
139,45,59,-9,13,51,291,70,4,68,0,0,1,0,0,0,0,0
85,87,42,-4,12,63,203,7,6,70,1,0,1,0,0,0,0,0
120,32,74,-13,8,29,193,72,3,57,0,0,0,1,0,0,0,0
137,48,49,-9,24,33,227,42,3,74,0,0,1,0,0,0,0,0
77,68,36,-6,34,20,343,32,3,75,0,1,0,0,0,0,0,0
169,38,23,-14,13,33,261,75,3,51,0,0,1,0,0,0,0,0
132,29,55,-12,4,12,395,33,3,55,0,0,1,0,0,0,0,0
119,4,47,-22,11,18,311,95,4,63,0,0,0,1,0,0,0,0
145,59,43,-5,30,19,227,6,3,70,1,0,0,1,0,0,0,0
132,71,42,-11,3,64,205,14,3,19,1,0,0,0,1,0,0,0
124,33,76,-10,24,24,246,73,3,75,1,0,0,1,0,0,0,0
130,70,48,-8,31,83,249,40,4,52,0,0,1,0,0,0,0,0
107,69,69,-8,20,93,244,17,3,63,0,0,0,1,0,0,0,0
134,92,59,-5,27,63,241,6,6,48,1,0,0,1,0,0,0,0
149,81,52,-4,12,53,192,0,3,42,1,0,0,1,0,0,0,0
138,32,26,-12,13,17,211,89,3,59,0,0,0,0,0,1,0,0
117,27,39,-14,11,17,275,17,3,56,0,0,1,0,0,0,0,0
92,76,52,-5,57,63,219,42,3,43,1,0,0,1,0,0,0,0
181,53,39,-9,16,33,276,25,4,77,0,0,1,0,0,0,0,0
125,96,46,-5,9,37,261,0,7,44,0,0,0,0,0,0,1,0
94,21,70,-12,11,72,128,84,7,63,0,0,0,0,0,1,0,0
92,38,59,-12,10,45,279,27,5,67,0,0,0,0,0,0,1,0
160,80,49,-10,7,97,174,27,4,71,0,0,0,0,0,0,0,1
84,13,21,-14,96,17,272,73,3,31,0,0,0,0,0,1,0,0
134,41,46,-8,10,9,227,50,3,63,1,0,0,0,0,0,1,0
96,80,22,-6,9,26,291,0,4,37,0,1,0,0,0,0,0,0
89,76,36,-8,37,17,564,1,3,63,0,0,0,1,0,0,0,0
168,82,51,-11,14,7,232,0,3,51,1,0,0,1,0,0,0,0
130,68,64,-12,5,71,225,1,4,61,0,0,1,0,0,0,0,0
81,35,48,-10,12,71,120,78,3,63,0,0,0,0,0,0,0,1
113,95,65,-7,29,61,286,1,4,68,0,0,0,0,0,0,1,0
142,48,57,-6,10,16,244,26,3,32,1,0,1,0,0,0,0,0
154,24,50,-12,13,31,272,84,3,61,0,0,1,0,0,0,0,0
101,88,54,-7,76,75,231,38,4,72,0,0,0,1,0,0,0,0
108,72,58,-4,24,32,236,3,3,53,1,0,0,1,0,0,0,0
133,88,46,-3,11,33,247,0,6,47,1,0,0,0,0,0,1,0
132,69,34,-9,34,21,341,0,4,32,1,0,1,0,0,0,0,0
122,31,72,-19,9,51,335,9,4,45,0,0,1,0,0,0,0,0
66,9,36,-18,11,19,187,92,5,59,0,0,0,0,0,1,0,0
129,74,48,-10,5,60,218,1,8,45,0,0,0,1,0,0,0,0
127,52,55,-13,11,60,287,34,3,40,0,0,0,0,1,0,0,0
100,76,51,-7,14,35,220,1,7,51,1,0,1,0,0,0,0,0
96,35,51,-9,59,51,172,67,15,71,1,0,0,0,1,0,0,0
175,45,42,-13,10,17,219,64,4,73,0,0,1,0,0,0,0,0
103,48,40,-8,16,65,230,35,3,68,0,0,0,0,0,0,0,1
93,46,81,-13,15,74,191,78,3,70,0,0,1,0,0,0,0,0
126,86,67,-5,10,80,268,18,3,81,0,1,0,0,0,0,0,0
110,76,50,-6,9,33,287,7,3,53,1,0,1,0,0,0,0,0
127,92,63,-5,11,36,290,12,5,65,0,1,0,0,0,0,0,0
81,61,58,-10,11,46,278,16,6,53,0,0,1,0,0,0,0,0
125,92,64,-6,33,72,234,0,4,67,0,1,0,0,0,0,0,0
145,91,55,-5,35,64,180,1,7,33,1,0,0,0,1,0,0,0
111,66,87,-7,14,32,269,4,8,72,1,0,0,1,0,0,0,0
171,50,36,-6,16,39,254,0,3,13,1,0,0,0,1,0,0,0
133,36,59,-14,6,50,217,48,4,75,0,0,0,0,0,1,0,0
97,73,50,-6,20,24,231,2,3,47,1,0,0,0,1,0,0,0
172,60,53,-10,7,71,271,31,3,43,0,0,1,0,0,0,0,0
136,86,72,-8,13,93,223,4,3,77,0,0,1,0,0,0,0,0
99,57,56,-12,12,58,251,36,3,56,0,0,1,0,0,0,0,0
105,83,54,-9,15,56,515,0,4,67,0,1,0,0,0,0,0,0
99,46,54,-9,14,14,247,0,2,45,1,1,0,0,0,0,0,0
