Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
2017,140,68,51,-3,18,36,196,28,3,64,0,1,0,0,0,0,0,0
2006,177,76,58,-6,25,66,201,16,12,74,0,1,0,0,0,0,0,0
1999,90,40,62,-10,15,35,254,9,2,57,0,0,0,0,0,0,0,1
1984,154,95,35,-5,56,86,240,0,5,52,1,0,0,0,0,0,0,0
1968,176,91,21,-7,5,45,313,48,39,67,1,0,0,0,0,0,0,0
2014,92,88,66,-3,69,77,348,3,9,41,0,1,0,0,0,0,0,0
1984,113,45,37,-10,69,19,521,4,3,75,0,1,0,0,0,0,0,0
1989,147,18,36,-19,10,25,233,13,3,49,1,0,0,0,0,0,0,0
2003,100,85,58,-5,9,58,197,11,3,65,0,0,0,0,0,1,0,0
1994,145,99,64,-7,16,17,378,1,5,56,0,1,0,0,0,0,0,0
2007,111,87,60,-5,11,44,215,3,3,30,0,1,0,0,0,0,0,0
1984,115,68,43,-7,21,51,229,5,3,54,1,0,0,0,0,0,0,0
2004,179,54,29,-8,12,16,251,29,4,39,0,1,0,0,0,0,0,0
1976,121,69,78,-7,11,70,187,52,4,44,0,1,0,0,0,0,0,0
2014,139,88,64,-4,36,74,242,8,3,70,0,1,0,0,0,0,0,0
2019,124,76,40,-8,37,49,261,10,5,37,0,0,0,0,0,1,0,0
1976,112,69,50,-7,22,36,296,19,6,70,1,0,0,0,0,0,0,0
2002,110,76,50,-6,9,33,287,7,3,53,1,0,0,0,0,0,0,0
1975,180,43,22,-9,12,50,216,82,3,54,0,0,0,0,1,0,0,0
1984,89,45,62,-14,7,87,156,59,3,74,1,0,0,0,0,0,0,0
2000,106,68,38,-9,18,65,136,6,3,63,0,1,0,0,0,0,0,0
1978,96,70,49,-12,15,78,236,4,6,75,1,0,0,0,0,0,0,0
2002,98,73,60,-7,14,29,264,1,3,72,0,0,0,0,0,0,1,0
1994,90,26,75,-15,12,13,206,70,4,45,0,0,0,0,0,0,0,1
2013,86,41,21,-10,8,16,306,17,4,72,0,0,0,1,0,0,0,0
1964,138,58,65,-8,12,74,164,41,4,66,0,1,0,0,0,0,0,0
2010,134,53,59,-10,12,31,287,38,4,57,0,0,0,0,0,0,0,1
1991,80,64,29,-9,11,23,536,2,3,80,0,1,0,0,0,0,0,0
2009,135,77,47,-7,11,9,347,6,5,63,0,0,1,0,0,0,0,0
2011,127,90,73,-4,37,76,236,0,14,75,0,0,0,0,0,0,1,0
2004,132,84,61,-7,8,54,236,0,4,40,0,0,0,0,0,0,0,1
1966,93,38,49,-12,10,53,150,83,3,65,1,0,0,0,0,0,0,0
